x_min,x_max,y_min,y_max,ID
299,329,239,269,1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223_179_536
357,373,256,272,1.3.6.1.4.1.14519.5.2.1.6279.6001.126264578931778258890371755354_525_98
170,183,123,136,1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444_66_1137
393,406,162,175,1.3.6.1.4.1.14519.5.2.1.6279.6001.898642529028521482602829374444_97_1138
141,163,351,373,1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547_382_1017
348,373,226,251,1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547_421_1018
447,462,256,271,1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547_201_1019
172,185,200,213,1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441_101_129
188,202,314,328,1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441_153_130
168,183,266,281,1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441_161_131
387,399,220,232,1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441_59_132
145,169,221,245,1.3.6.1.4.1.14519.5.2.1.6279.6001.202811684116768680758082619196_101_420
121,141,277,297,1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574_329_1072
341,364,274,297,1.3.6.1.4.1.14519.5.2.1.6279.6001.313334055029671473836954456733_33_871
210,226,330,346,1.3.6.1.4.1.14519.5.2.1.6279.6001.310548927038333190233889983845_109_858
304,331,171,198,1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074_199_454
399,414,327,342,1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074_103_455
379,391,301,313,1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074_212_456
411,440,271,300,1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059_68_25
402,414,331,343,1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059_57_26
140,154,344,358,1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734_117_1123
226,236,319,329,1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734_165_1124
208,220,341,353,1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734_143_1125
327,349,278,300,1.3.6.1.4.1.14519.5.2.1.6279.6001.450501966058662668272378865145_109_987
400,412,197,209,1.3.6.1.4.1.14519.5.2.1.6279.6001.450501966058662668272378865145_69_988
51,66,310,325,1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686_125_139
382,395,263,276,1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843_223_117
129,152,324,347,1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729_213_490
141,153,373,385,1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729_48_491
177,196,319,338,1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952_183_347
123,134,330,341,1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952_90_348
140,151,309,320,1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952_132_349
351,364,368,381,1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952_123_350
399,410,314,325,1.3.6.1.4.1.14519.5.2.1.6279.6001.303421828981831854739626597495_77_836
100,112,331,343,1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371_57_1116
283,295,277,289,1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371_111_1117
156,167,197,208,1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831_243_783
130,145,305,320,1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831_278_784
171,195,231,255,1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227_159_199
348,365,313,330,1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326_49_367
109,125,346,362,1.3.6.1.4.1.14519.5.2.1.6279.6001.129055977637338639741695800950_370_110
182,205,343,366,1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410_584_978
410,426,361,377,1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410_449_979
311,323,325,337,1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410_663_980
415,426,193,204,1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896_130_1020
106,120,335,349,1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896_151_1021
175,187,244,256,1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896_149_1022
75,89,166,180,1.3.6.1.4.1.14519.5.2.1.6279.6001.640729228179368154416184318668_221_1054
92,108,295,311,1.3.6.1.4.1.14519.5.2.1.6279.6001.979083010707182900091062408058_56_1180
165,191,361,387,1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843_46_1106
161,176,208,223,1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732_189_630
66,78,258,270,1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730_246_620
469,484,249,264,1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730_130_621
430,452,299,321,1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730_96_622
103,113,216,226,1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517_200_477
98,109,233,244,1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517_177_478
152,163,325,336,1.3.6.1.4.1.14519.5.2.1.6279.6001.277445975068759205899107114231_71_732
164,175,350,361,1.3.6.1.4.1.14519.5.2.1.6279.6001.277445975068759205899107114231_74_733
325,365,363,403,1.3.6.1.4.1.14519.5.2.1.6279.6001.511347030803753100045216493273_67_1011
128,146,305,323,1.3.6.1.4.1.14519.5.2.1.6279.6001.511347030803753100045216493273_65_1012
