x_min,x_max,y_min,y_max,ID
328,380,253,305,1.3.6.1.4.1.14519.5.2.1.6279.6001.102681962408431413578140925249_0_8
172,190,311,329,1.3.6.1.4.1.14519.5.2.1.6279.6001.112767175295249119452142211437_4_36
121,139,224,242,1.3.6.1.4.1.14519.5.2.1.6279.6001.112767175295249119452142211437_4_37
309,329,317,337,1.3.6.1.4.1.14519.5.2.1.6279.6001.112767175295249119452142211437_4_38
82,96,221,235,1.3.6.1.4.1.14519.5.2.1.6279.6001.112767175295249119452142211437_4_39
222,240,296,314,1.3.6.1.4.1.14519.5.2.1.6279.6001.112767175295249119452142211437_4_40
347,365,260,278,1.3.6.1.4.1.14519.5.2.1.6279.6001.112767175295249119452142211437_4_41
335,349,302,316,1.3.6.1.4.1.14519.5.2.1.6279.6001.112767175295249119452142211437_4_42
379,405,273,299,1.3.6.1.4.1.14519.5.2.1.6279.6001.112767175295249119452142211437_4_43
192,220,226,254,1.3.6.1.4.1.14519.5.2.1.6279.6001.114914167428485563471327801935_6_54
131,151,288,308,1.3.6.1.4.1.14519.5.2.1.6279.6001.114914167428485563471327801935_6_55
83,103,165,185,1.3.6.1.4.1.14519.5.2.1.6279.6001.121108220866971173712229588402_8_70
160,178,422,440,1.3.6.1.4.1.14519.5.2.1.6279.6001.124822907934319930841506266464_14_90
168,188,422,442,1.3.6.1.4.1.14519.5.2.1.6279.6001.124822907934319930841506266464_14_91
303,317,318,332,1.3.6.1.4.1.14519.5.2.1.6279.6001.124822907934319930841506266464_14_92
369,385,417,433,1.3.6.1.4.1.14519.5.2.1.6279.6001.124822907934319930841506266464_14_93
375,393,173,191,1.3.6.1.4.1.14519.5.2.1.6279.6001.124822907934319930841506266464_14_94
91,125,176,210,1.3.6.1.4.1.14519.5.2.1.6279.6001.134519406153127654901640638633_18_127
204,226,296,318,1.3.6.1.4.1.14519.5.2.1.6279.6001.134519406153127654901640638633_18_128
297,343,313,359,1.3.6.1.4.1.14519.5.2.1.6279.6001.138813197521718693188313387015_22_140
157,179,350,372,1.3.6.1.4.1.14519.5.2.1.6279.6001.141345499716190654505508410197_26_151
299,319,256,276,1.3.6.1.4.1.14519.5.2.1.6279.6001.150097650621090951325113116280_32_184
143,213,231,301,1.3.6.1.4.1.14519.5.2.1.6279.6001.153985109349433321657655488650_34_198
287,317,271,301,1.3.6.1.4.1.14519.5.2.1.6279.6001.167661207884826429102690781600_36_233
372,412,268,308,1.3.6.1.4.1.14519.5.2.1.6279.6001.167661207884826429102690781600_36_234
339,395,321,377,1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264_38_257
295,319,185,209,1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264_38_258
204,238,202,236,1.3.6.1.4.1.14519.5.2.1.6279.6001.170706757615202213033480003264_38_259
339,393,338,392,1.3.6.1.4.1.14519.5.2.1.6279.6001.173931884906244951746140865701_40_278
